seg_word,count
110.28,113
四月,113
要死,113
判斷,113
一瞬間,113
眼神,113
勸,113
好奇,113
眼前,113
投訴,112
慾望,112
米,112
不變,112
.......,112
辭職,112
減藥,112
給予,112
▽,112
思維,112
肉,111
國,111
colza,111
第一天,111
🍀,111
手槍,111
菜,111
一杯,111
學期,111
覺,111
有所,111
MDFK55,111
武漢,111
丟,111
找個,110
先生,110
盯,110
攻擊,110
氣,110
第二次,110
鼻子,110
上癮,110
思緒,110
搶,110
好友,110
總有一天,110
老漢,110
忍受,110
糖,110
歌,109
帶著,109
給他,109
冷靜,109
做夢,109
這點,109
允許,109
阿姨,109
接近,109
轉移,109
尋求,109
囉,109
遠走,109
運氣,109
教育,108
猶豫,108
老人,108
推文,108
回想,108
癒,108
理智,108
建立,108
記住,108
體位,108
走走,108
作,108
同理,108
命運,108
嗨,107
寫作,107
資源,107
鄭州,107
開朗,107
青春,107
無限,107
驚喜,107
他會,107
履歷,107
天堂,107
qien,107
己亥,107
疼痛,107
尷尬,107
時代,107
換藥,107
惡夢,107
下降,106
聯繫,106
親人,106
店員,106
階段,106
說好,106
缺點,106
出去玩,106
頭腦,106
不見,106
悲哀,106
趕緊,106
床緣,106
我給,105
無所謂,105
自責,105
度,105
過後,105
一間,105
🐷,105
想念,105
生存,105
血,105
大量,105
累積,105
一面,105
部門,105
空虛,105
實驗,105
一部,105
從來不,105
主,105
自以,105
形容,105
健身房,105
叔叔,105
不足,104
月亮,104
組織,104
服務,104
犯錯,104
花園,104
裝,104
可不可以,104
陌生,104
完整,104
刷,104
實際上,104
jackie,103
mayday0609,103
＝,103
說法,103
不愧,103
單位,103
藝術,103
規律,103
講了,103
悲觀,103
康復,103
當天,103
確認,103
快來,103
意志力,103
辦公室,103
空氣,103
拿來,103
歲月,103
拜,102
捨不得,102
蛋糕,102
國中,102
27.246,102
評價,102
分開,102
週五,102
週一,102
速度,102
最愛,102
國外,102
iPhone,102
爽,102
定義,102
眼光,102
碰到,102
數學,102
符合,102
硬,102
逛,102
業主,102
做些,102
護士,101
指,101
舊,101
平時,101
放心,101
想太多,101
我活,101
懶,101
求救,101
食慾,101
一部分,101
棒,101
還不,101
觀念,101
面,101
語言,100
隔,100
科學,100
問了,100
加入,100
地上,100
課業,100
尿,100
175.181,100
換了,100
很長,100
換個,100
腦中,100
金錢,100
長輩,100
暑假,100
戴,99
婚姻,99
心理醫生,99
週末,99
熱情,99
兩顆,99
刺青,99
打給,99
墨水,99
．,99
進度,99
女性,99
畫,99
猜,99
分析,99
提出,99
童年,99
半顆,98
一大,98
實習,98
爆,98
理,98
￣,98
找回,98
半小時,98
爛,98
題,98
頭,98
戒斷,98
茶,98
111.254,98
不像,98
前天,98
頭暈,98
筆記,98
過敏,98
投入,98
但求,98
無法控制,98
表面,97
咸寧,97
性,97
口罩,97
好人,97
伴隨,97
病患,97
周,97
離婚,97
留,97
天空,97
工程師,97
酸,97
關,97
歸來,97
擦,97
ˋ,97
三點,97
小小的,97
漫畫,96
主任,96
多巴胺,96
發抖,96
呆,96
走過,96
天使,96
初夏,96
保證,96
高雄,96
週六,96
王者,96
咬,96
orz,96
還活,96
排斥,96
ˊ,96
批評,95
大人,95
交往,95
太過,95
歷史,95
看不見,95
了藥,95
命,95
慢慢來,95
大多數,95
更是,95
游泳,95
深,95
這時候,95
秒,95
嗜睡,95
小姐,95
心理治療,95
板友,95
護理,95
